[2025-07-21 15:33:42] - Event: Smoke | Confidence: 51.44% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 51.53% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 51.62% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.03% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.09% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.20% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 55.87% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 55.99% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.10% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.20% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.02% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.36% | Video: test1.mp4
[2025-07-21 15:33:42] - Event: Smoke | Confidence: 56.29% | Video: test1.mp4
[2025-07-21 15:33:43] - Event: Smoke | Confidence: 52.13% | Video: test1.mp4
[2025-07-21 15:33:43] - Event: Smoke | Confidence: 52.03% | Video: test1.mp4
[2025-07-21 15:33:43] - Event: Smoke | Confidence: 51.55% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 55.76% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 55.29% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 54.86% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 54.95% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 52.58% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 54.62% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 54.81% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 55.62% | Video: test1.mp4
[2025-07-21 15:33:44] - Event: Smoke | Confidence: 55.53% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.31% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.40% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.02% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.13% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.07% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.71% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.80% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.88% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 56.26% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 56.67% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 54.22% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 53.39% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 55.26% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 54.87% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 54.31% | Video: test1.mp4
[2025-07-21 15:33:45] - Event: Smoke | Confidence: 53.37% | Video: test1.mp4
